id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4487,LRTM,medium_airport,"Transilvania Târgu Mureş International Airport",46.46770095825195,24.412500381469727,963,EU,Romania,RO,"Mureş County",RO-MS,MS,"Târgu Mureş",1,LRTM,TGM,,,https://en.wikipedia.org/wiki/T%C3%A2rgu_Mure%C5%9F_International_Airport,"Vidrasau, Vidrasău",750,2008-06-13T14:30:04+00:00
4472,LRBC,medium_airport,"Bacău Airport",46.52190017700195,26.91029930114746,607,EU,Romania,RO,"Bacău County",RO-BC,BC,Bacău,1,LRBC,BCM,,http://www.bacauairport.ro/,https://en.wikipedia.org/wiki/Bac%C4%83u_International_Airport,"Bacau, RoAF 95th Air Base",750,2008-06-13T14:30:04+00:00
4486,LRTC,medium_airport,"Tulcea Danube Delta Airport",45.0625,28.7143,200,EU,Romania,RO,"Tulcea County",RO-TL,TL,Tulcea,0,LRTC,TCE,,,https://en.wikipedia.org/wiki/Tulcea_Airport,"Cataloi Airport, Aeroportul Delta Dunării Tulcea",250,2021-03-19T13:48:15+00:00
4471,LRAR,medium_airport,"Arad International Airport",46.17660140991211,21.261999130249023,352,EU,Romania,RO,"Arad County",RO-AR,AR,Arad,1,LRAR,ARW,,,https://en.wikipedia.org/wiki/Arad_International_Airport,,750,2008-06-13T14:30:04+00:00
4473,LRBM,medium_airport,"Maramureș International Airport",47.660598,23.467252,605,EU,Romania,RO,"Maramureş County",RO-MM,MM,"Baia Mare",1,LRBM,BAY,,https://aimm.eu/,https://en.wikipedia.org/wiki/Maramureș_Airport,,750,2021-08-01T05:03:55+00:00
4481,LROD,medium_airport,"Oradea International Airport",47.025299072265625,21.90250015258789,465,EU,Romania,RO,"Bihor County",RO-BH,BH,Oradea,1,LROD,OMR,,,https://en.wikipedia.org/wiki/Oradea_International_Airport,,750,2008-06-13T14:30:04+00:00
324128,LRFL,small_airport,"Floreni Airfield",47.363094,25.210346,,EU,Romania,RO,"Suceava County",RO-SV,SV,Floreni,0,LRFL,,,,,,50,2020-05-03T02:44:42+00:00
313613,RO-0003,small_airport,"Aerodrom Fratauti",47.885278,25.899167,1380,EU,Romania,RO,"Suceava County",RO-SV,SV,Rădăuți,0,,,,http://bucovinaflyclub.ro/,,"Aerodrom Fratauti",50,2019-08-18T07:41:11+00:00
30501,LRTZ,small_airport,"Tuzla Aerodrome",43.984395,28.609682,161,EU,Romania,RO,"Constanţa County",RO-CT,CT,Tuzla,0,LRTZ,,,,,,50,2021-12-30T14:54:41+00:00
4478,LRCT,medium_airport,"Câmpia Turzii Air Base",46.50230026245117,23.885900497436523,1083,EU,Romania,RO,"Cluj County",RO-CJ,CJ,"Câmpia Turzii",0,LRCT,,,http://www.roaf.ro/en/unitati/bz71_en.php,https://en.wikipedia.org/wiki/RoAF_71st_Air_Base,"Campia Turzii, Luna Airport, RoAF 71st Air Base",250,2008-06-13T14:30:04+00:00
4477,LRCS,medium_airport,"Caransebeş Airport",45.41999816894531,22.253299713134766,866,EU,Romania,RO,"Caras-Severin County",RO-CS,CS,Caransebeş,0,LRCS,CSB,,,https://en.wikipedia.org/wiki/Caransebe%C5%9F_Airport,"Caransebes, Reşiţa",250,2008-06-13T14:30:04+00:00
315658,RO-0009,small_airport,"Aerodromul Charlie Bravo Siria",46.26433,21.604521,,EU,Romania,RO,"Arad County",RO-AR,AR,Arad,0,LRCB,,,,,,50,2023-08-23T07:20:00+00:00
313619,RO-0004,small_airport,"Ineu ""King's Land"" field",47.079167,22.100278,498,EU,Romania,RO,"Bihor County",RO-BH,BH,,0,,,,http://www.fly2romania.com/,,,50,2022-10-30T19:31:31+00:00
315478,RO-0005,small_airport,"Aerodrom Sălicea",46.6830919,23.5076486,,EU,Romania,RO,"Cluj County",RO-CJ,CJ,,0,,,,,,,50,2015-09-18T15:57:35+00:00
354838,RO-0054,small_airport,"Iaşi Sud",47.15778,27.6375,200,EU,Romania,RO,"Iaşi County",RO-IS,IS,,0,,,,,,,50,2022-06-07T13:18:38+00:00
311939,RO-0002,small_airport,Banesti,45.068671,25.80637,,EU,Romania,RO,"Prahova County",RO-PH,PH,,0,,,,,,,50,2016-04-29T07:14:28+00:00
300163,LRCN,small_airport,"Clinceni Airfield",44.35902,25.93196,,EU,Romania,RO,"Ilfov County",RO-IF,IF,Clinceni,0,LRCN,,,,,,50,2022-04-11T16:50:54+00:00
315483,RO-0007,small_airport,"Aerodromul Săulești",45.863784,22.965066,,EU,Romania,RO,"Hunedoara County",RO-HD,HD,Deva,0,LRDV,,,,,,50,2022-10-31T09:30:58+00:00
315893,RO-0010,small_airport,"Ghimbav Aerodrome",45.699386,25.528414,1736,EU,Romania,RO,"Braşov County",RO-BV,BV,Ghimbav,0,,,,,,,50,2023-05-29T06:08:24+00:00
309711,lrpv,small_airport,"Aerodromul Ploiești -Strejnic",44.92367,25.963418,240,EU,Romania,RO,"Prahova County",RO-PH,PH,Ploiești,0,LRPW,,,https://web.archive.org/web/20160507200158/http://ploiesti.aeroclubulromaniei.ro/aerodromul.html,,"Gheorghe Valentin Bibescu",50,2023-03-01T11:33:16+00:00
